gia,dientich,rong,dai,kieunha,phuong, quan,bedroom,bathroom,phaply,ngaydang,masobds,linkweb
7600,64,16,4,"hẻm, ngõ", Phường Tân Thuận Tây, Quận 7,4,5,Sổ hồng,21/01/2024,22439344,https://mogi.vn/quan-7/mua-nha-hem-ngo/ban-gap-nha-tan-my-quan-7-xe-hoi-vo-nha-chi-7-ty-nhinh-id22439344
7600,82,13,6.5,"mặt tiền, phố", Phường Phú Mỹ, Quận 7,4,5,Sổ hồng,21/01/2024,22181215,https://mogi.vn/quan-7/mua-nha-mat-tien-pho/nha-pho-hien-dai-kdc-dong-bo-huynh-tan-phat-6-5x13m-id22181215
7600,82,13,6.5,"mặt tiền, phố", Xã Phú Xuân, Huyện Nhà Bè,4,5,Sổ hồng,21/01/2024,22181213,https://mogi.vn/huyen-nha-be/mua-nha-mat-tien-pho/nha-dep-hoan-thien-kdc-green-riverside-huynh-tan-phat-id22181213
7650,48,11,4.5,"hẻm, ngõ", Phường 9, Quận Phú Nhuận,3,3,Sổ hồng,21/01/2024,22321971,https://mogi.vn/quan-phu-nhuan/mua-nha-hem-ngo/hem-xe-hoi-do-cua-ngay-trung-tam-phuong-9-phu-nhuan-48m2-4-tang-btct-id22321971
7650,60,15,4,"hẻm, ngõ", Phường 26, Quận Bình Thạnh,5,5,Sổ hồng,21/01/2024,21785867,https://mogi.vn/quan-binh-thanh/mua-nha-hem-ngo/nha-dep-nguyen-xi-binh-thanh-canh-ben-xe-mien-dong-60m2-chi-7-65-ty-id21785867
7650,75,18,4.4,"hẻm, ngõ", Phường 1, Quận Gò Vấp,5,5,Sổ hồng,21/01/2024,21778540,https://mogi.vn/quan-go-vap/mua-nha-hem-ngo/nha-dep-o-ngay-le-quang-dinh-go-vap-75m2-4-4x18m-5-tang-chi-7-65-ty-id21778540
7700,116,14,8,"mặt tiền, phố", Phường An Lạc, Quận Bình Tân,4,3,Sổ hồng,21/01/2024,22054030,https://mogi.vn/quan-binh-tan/mua-nha-mat-tien-pho/nha-3-mt-goc-an-lac-binh-tan-116m2-8x14-4-tang-shr-hc-du-7-7-ty-tl-id22054030
7700,44,12,3.7,"hẻm, ngõ", Phường 10, Quận Tân Bình,5,5,Sổ hồng,21/01/2024,21982552,https://mogi.vn/quan-tan-binh/mua-nha-hem-ngo/khu-vip-dong-den-q-tan-binh-hem-7m-xe-tai-tranh-44m2-3-7x12-5lau-id21982552
7700,50,10,5,"hẻm, ngõ", Phường 13, Quận 10,3,5,Sổ đỏ,21/01/2024,22177295,https://mogi.vn/quan-10/mua-nha-hem-ngo/ban-gap-hxh-hoa-hung-quan-10-giam-12-ty-con-7-ty-7-id22177295
7700,85,17,5,"mặt tiền, phố", Thị Trấn Nhà Bè, Huyện Nhà Bè,4,5,Sổ hồng,21/01/2024,22472139,https://mogi.vn/huyen-nha-be/mua-nha-mat-tien-pho/cat-lo-1-5-ty-nha-pho-hien-dai-truc-huynh-tan-phat-id22472139
7749,64,16,4,"mặt tiền, phố", Phường Tân Quý, Quận Tân Phú,3,2,Sổ hồng,21/01/2024,22364452,https://mogi.vn/quan-tan-phu/mua-nha-mat-tien-pho/tan-phu-mat-tien-kinh-doanh-dinh-lo-goc-64m2-4-x-16-2-tang-gia-re-id22364452
7750,88,22,4,"mặt tiền, phố", Phường Tân Thới Hiệp, Quận 12,3,2,Sổ hồng,21/01/2024,22165272,https://mogi.vn/quan-12/mua-nha-mat-tien-pho/q12-nha-mat-tien-kinh-doanh-duong-truong-thi-hoa-gan-ca-q12-88m2-2t-id22165272
7750,88,22,4,"mặt tiền, phố", Phường Tân Thới Hiệp, Quận 12,4,2,Sổ hồng,21/01/2024,22437892,https://mogi.vn/quan-12/mua-nha-mat-tien-pho/q12-nha-mat-tien-kinh-doanh-duong-truong-thi-hoa-gan-ca-q12-88m2-id22437892
7790,105,22,6,"hẻm, ngõ", Phường 6, Quận Gò Vấp,12,12,Sổ hồng,21/01/2024,21412182,https://mogi.vn/quan-go-vap/mua-nha-hem-ngo/qgv-hot-nha-ngang-5-8m-105m2-3t-12p-chdv-thu-nhap-50-trieu-thang-id21412182
7800,43,15,3.4,"hẻm, ngõ", Phường 5, Quận Phú Nhuận,5,3,Sổ hồng,21/01/2024,22052874,https://mogi.vn/quan-phu-nhuan/mua-nha-hem-ngo/hem-4m-cach-5-can-ra-mat-tien-thich-quang-duc-48m2-4tang-no-hau-id22052874
7800,55,11,5,"hẻm, ngõ", Phường 11, Quận Phú Nhuận,3,3,Sổ hồng,21/01/2024,22337701,https://mogi.vn/quan-phu-nhuan/mua-nha-hem-ngo/ban-gap-nha-nguyen-dinh-chinh-hxh-id22337701
7800,55,14,4.1,"hẻm, ngõ", Phường 13, Quận Phú Nhuận,3,3,Sổ hồng,21/01/2024,22377388,https://mogi.vn/quan-phu-nhuan/mua-nha-hem-ngo/truong-sa-phu-nhuan-3-tang-ngang-4-1-x-14m-3pn-chi-nhinh7-ty-id22377388
7800,55,14.5,3.8,"hẻm, ngõ", Phường 11, Quận Bình Thạnh,2,2,Sổ hồng,21/01/2024,22360214,https://mogi.vn/quan-binh-thanh/mua-nha-hem-ngo/ban-nha-le-quang-dinh-hem-xe-tai-55m2-full-noi-that-nhinh-7-ty-id22360214
7800,63,15.5,4.2,"hẻm, ngõ", Phường 15, Quận Tân Bình,5,5,Sổ hồng,21/01/2024,21923803,https://mogi.vn/quan-tan-binh/mua-nha-hem-ngo/xe-hoi-do-trong-nha-huynh-van-nghe-4-2mx15-5m-4-tang-full-noi-that-id21923803
7800,63,17,3.7,"hẻm, ngõ", Phường 13, Quận 10,4,4,Sổ hồng,21/01/2024,22372690,https://mogi.vn/quan-10/mua-nha-hem-ngo/trung-tam-q-10-hoa-hung-63m2-3-7x17-4lau-4pn-cach-mat-tien-3-can-id22372690
7800,64,16,4,"mặt tiền, phố", Thị Trấn Nhà Bè, Huyện Nhà Bè,4,5,Sổ hồng,21/01/2024,22280159,https://mogi.vn/huyen-nha-be/mua-nha-mat-tien-pho/nha-hem-xe-hoi-12m-duong-huynh-thi-dong-thi-tran-nha-be-id22280159
7800,70,13,5.5,"hẻm, ngõ", Phường 14, Quận 3,5,4,Sổ hồng,21/01/2024,22321823,https://mogi.vn/quan-3/mua-nha-hem-ngo/tran-quang-dieu-quan-3-giap-phu-nhuan-ngang-5-5-x-13m-5pn-chi-hon-7ty-id22321823
7800,82,17,5,"mặt tiền, phố", Thị Trấn Nhà Bè, Huyện Nhà Bè,4,5,Sổ hồng,21/01/2024,22425280,https://mogi.vn/huyen-nha-be/mua-nha-mat-tien-pho/nha-dep-o-ngay-duong-xe-hoi-huynh-tan-phat-nha-be-5x17m-id22425280
7800,96,16,6,"hẻm, ngõ", Phường 8, Quận Tân Bình,4,4,Sổ hồng,21/01/2024,22454848,https://mogi.vn/quan-tan-binh/mua-nha-hem-ngo/ban-nha-hem-4m-lac-long-quan-tan-binh-4-tang-6x16m-nhinh-7-ty-id22454848
7850,68,17,4,"hẻm, ngõ", Phường 1, Quận Phú Nhuận,4,4,Sổ hồng,21/01/2024,21807755,https://mogi.vn/quan-phu-nhuan/mua-nha-hem-ngo/gia-dau-tu-hem-xe-hoi-doan-thi-diem-phu-nhuan-68m2-chi-7-85-ty-id21807755
7850,70,15,4,"mặt tiền, phố", Phường 1, Quận Phú Nhuận,5,5,Sổ hồng,21/01/2024,21782761,https://mogi.vn/quan-phu-nhuan/mua-nha-mat-tien-pho/cuc-vip-ban-nha-hem-xe-hoi-phan-dang-luu-phu-nhuan-70m2-chi-7-85-ty-id21782761
7850,72,6,12,"mặt tiền, phố", Phường 19, Quận Bình Thạnh,2,2,Sổ hồng,21/01/2024,22456907,https://mogi.vn/quan-binh-thanh/mua-nha-mat-tien-pho/ban-nha-mat-tien-quan-binh-thanh-ngang-12m-dai-6m-ngo-tat-to-id22456907
7850,82,20,4.1,"hẻm, ngõ", Phường Phú Thuận, Quận 7,4,5,Sổ hồng,21/01/2024,22443990,https://mogi.vn/quan-7/mua-nha-hem-ngo/hoang-quoc-viet-q7-nha-dep-chi-sach-vali-vao-o-82m2-chi-nhinh-7-ty-id22443990
7899,54,9,5.7,"hẻm, ngõ", Phường 9, Quận Phú Nhuận,4,4,Sổ hồng,21/01/2024,22346417,https://mogi.vn/quan-phu-nhuan/mua-nha-hem-ngo/nha-4-tang-btct-ho-van-hue-54m2-ngang-khung-5-7m-4pn-chi-nhinh-7-ty-id22346417
7900,100,20,5,"mặt tiền, phố", Phường 16, Quận 8,5,5,Sổ hồng,21/01/2024,21956868,https://mogi.vn/quan-8/mua-nha-mat-tien-pho/mtkd-p16-q8-100m2-5x20-3-tang-gan-cho-view-cong-vien-chi-7-9-ty-tl-id21956868
7900,100,25.5,4,"hẻm, ngõ", Phường 9, Quận Gò Vấp,8,8,Sổ hồng,21/01/2024,22168897,https://mogi.vn/quan-go-vap/mua-nha-hem-ngo/hem-6m-oto-do-trong-nha-pham-van-chieu-88-102m2-4x25-5m-5lau-8pn-id22168897
7900,105,19,4.5,"hẻm, ngõ", Phường Hòa Thạnh, Quận Tân Phú,3,1,Sổ hồng,21/01/2024,21495994,https://mogi.vn/quan-tan-phu/mua-nha-hem-ngo/nha-hxh-thoai-ngoc-hau-105m2-4-5x19-no-hau-vi-tri-cuc-dep-7-9-ty-tl-id21495994
7900,49,9.7,5.1,"hẻm, ngõ", Phường 5, Quận Phú Nhuận,4,5,Sổ hồng,21/01/2024,21732406,https://mogi.vn/quan-phu-nhuan/mua-nha-hem-ngo/hem-truoc-nha-4m-thich-quang-duc-q-phu-nhuan-49m2-5-1x9-7-4-tang-id21732406
7900,53,9.5,5.7,"hẻm, ngõ", Phường 9, Quận Phú Nhuận,4,4,Sổ hồng,21/01/2024,22473643,https://mogi.vn/quan-phu-nhuan/mua-nha-hem-ngo/khu-dat-vang-hiem-nha-ban-4-tang-btct-nha-dep-53m2-ngang-5-7m-4pn-id22473643
7900,73,17.5,4.2,"hẻm, ngõ", Phường Hiệp Tân, Quận Tân Phú,5,5,Sổ hồng,21/01/2024,22175279,https://mogi.vn/quan-tan-phu/mua-nha-hem-ngo/hem-7m-xe-tai-thong-hoa-binh-to-hieu-73m2-4-2x17-5-4tang-vuong-vuc-id22175279
7900,80,16,5,"mặt tiền, phố", Phường Phú Mỹ, Quận 7,4,5,Sổ hồng,21/01/2024,22083543,https://mogi.vn/quan-7/mua-nha-mat-tien-pho/nha-pho-2-mat-tien-full-noi-that-duong-huynh-tan-phat-5x16-id22083543
7900,80,16,5,"mặt tiền, phố", Phường Phú Mỹ, Quận 7,4,5,Sổ hồng,21/01/2024,22084957,https://mogi.vn/quan-7/mua-nha-mat-tien-pho/nha-pho-green-riverside-duong-xe-hoi-huynh-tan-phat-5x16m-id22084957
7900,80,16,5,"mặt tiền, phố", Phường Phú Mỹ, Quận 7,4,5,Sổ hồng,21/01/2024,22085033,https://mogi.vn/quan-7/mua-nha-mat-tien-pho/khu-dan-cu-dong-bo-nha-pho-co-dien-huynh-tan-phat-5x16m-id22085033
7900,80,16,5,"mặt tiền, phố", Thị Trấn Nhà Bè, Huyện Nhà Bè,4,5,Sổ hồng,21/01/2024,22083539,https://mogi.vn/huyen-nha-be/mua-nha-mat-tien-pho/nha-pho-2-mat-tien-full-noi-that-duong-xe-hoi-nha-be-5x16m-id22083539
7900,80,16,5,"mặt tiền, phố", Thị Trấn Nhà Bè, Huyện Nhà Bè,4,5,Sổ hồng,21/01/2024,22281947,https://mogi.vn/huyen-nha-be/mua-nha-mat-tien-pho/nha-full-noi-that-xe-hoi-de-trong-nha-duong-huynh-tan-phat-id22281947
7900,80,16.5,5,"mặt tiền, phố", Thị Trấn Nhà Bè, Huyện Nhà Bè,4,5,Sổ hồng,21/01/2024,22084232,https://mogi.vn/huyen-nha-be/mua-nha-mat-tien-pho/ban-nha-pho-hien-dai-duong-xe-hoi-khu-dong-bo-nha-be-5x16m-id22084232
7900,99,22,4.5,"mặt tiền, phố", Phường Phú Mỹ, Quận 7,4,5,Sổ hồng,21/01/2024,22450033,https://mogi.vn/quan-7/mua-nha-mat-tien-pho/nha-co-ho-boi-day-du-noi-that-duong-huynh-tan-q7-4-5x22m-id22450033
7990,140,22,5,"hẻm, ngõ", Phường 15, Quận Tân Bình,2,1,Sổ hồng,21/01/2024,22392039,https://mogi.vn/quan-tan-binh/mua-nha-hem-ngo/phan-huy-ich-hem-xe-tai-1-sec-140m2-5m-10m-x-22m-gia-re-id22392039
7990,50,12.5,4,"hẻm, ngõ", Phường 15, Quận Phú Nhuận,4,5,Sổ hồng,21/01/2024,21783090,https://mogi.vn/quan-phu-nhuan/mua-nha-hem-ngo/hiem-hem-xe-hoi-nguyen-van-troi-phu-nhuan-50m2-5-tang-chi-7-99-ty-id21783090
7990,53,15,3.5,"hẻm, ngõ", Phường 11, Quận Tân Bình,3,3,Sổ hồng,21/01/2024,22448711,https://mogi.vn/quan-tan-binh/mua-nha-hem-ngo/ban-nha-hem-7m-lac-long-quan-tan-binh-tret-2-lau-3-5x15m-7-99-ty-id22448711
7990,60,13.5,4.4,"hẻm, ngõ", Phường 7, Quận Bình Thạnh,5,5,Sổ hồng,21/01/2024,21786601,https://mogi.vn/quan-binh-thanh/mua-nha-hem-ngo/khu-vip-hem-xe-hoi-le-quang-dinh-binh-thanh-5-tang-60m2-chi-7-99-ty-id21786601
7990,80,15,5.4,"mặt tiền, phố", Phường 11, Quận Bình Thạnh,5,5,Sổ hồng,21/01/2024,21987300,https://mogi.vn/quan-binh-thanh/mua-nha-mat-tien-pho/gap-ban-mat-tien-pham-van-dong-binh-thanh-80m2-ngang-5-4m-chi-7-99-ty-id21987300
7999,55,11,5,"hẻm, ngõ", Phường 11, Quận 3,2,2,Sổ đỏ,21/01/2024,22160729,https://mogi.vn/quan-3/mua-nha-hem-ngo/ban-gap-hxh-cach-mang-thang-tam-quan-3-tang-noi-that-id22160729
8000,100,20,5,"mặt tiền, phố", Phường 12, Quận Gò Vấp,4,4,Sổ hồng,21/01/2024,22297456,https://mogi.vn/quan-go-vap/mua-nha-mat-tien-pho/ngop-bank-giam-sau-con-8-ty-5x20-3-tang-hxh-5m-bui-quang-la-go-vap-id22297456
8000,40,10,4,"hẻm, ngõ", Phường 10, Quận Phú Nhuận,7,7,Sổ đỏ,21/01/2024,22188712,https://mogi.vn/quan-phu-nhuan/mua-nha-hem-ngo/ban-gap-hxh-hoang-dieu-phu-nhuan-can-ho-dich-vu-id22188712
8000,40,10,4,"hẻm, ngõ", Phường 3, Quận Bình Thạnh,4,4,Sổ hồng,21/01/2024,22269645,https://mogi.vn/quan-binh-thanh/mua-nha-hem-ngo/nha-4-tang-2-mat-tien-thoang-dt-4m-x-10m-hem-oto-6m-vu-huy-tan-p-1-id22269645
8000,48,12,5.2,"mặt tiền, phố", Phường 13, Quận 10,2,2,Sổ hồng,21/01/2024,22349539,https://mogi.vn/quan-10/mua-nha-mat-tien-pho/ban-gap-nha-mat-tien-hoa-hung-quan-10-id22349539
8000,50,10,5,"hẻm, ngõ", Phường 13, Quận Phú Nhuận,3,2,Sổ đỏ,21/01/2024,22191695,https://mogi.vn/quan-phu-nhuan/mua-nha-hem-ngo/ban-gap-hxh-huynh-van-banh-phu-nhuan-id22191695
8000,60,12,5,"hẻm, ngõ", Phường 11, Quận Phú Nhuận,4,4,Sổ hồng,21/01/2024,22024614,https://mogi.vn/quan-phu-nhuan/mua-nha-hem-ngo/ban-gap-nha-le-van-si-quan-phu-nhuan-id22024614
8000,62,15,4.2,"mặt tiền, phố", Phường 10, Quận Tân Bình,5,6,Sổ hồng,21/01/2024,22451840,https://mogi.vn/quan-tan-binh/mua-nha-mat-tien-pho/ban-nha-mat-tien-ni-su-huynh-lien-xd-ham-5-tang-chi-nhinh-8-ty-tl-id22451840
8000,68,16,4,"mặt tiền, phố", Phường 2, Quận Tân Bình,4,2,Sổ hồng,21/01/2024,22418268,https://mogi.vn/quan-tan-binh/mua-nha-mat-tien-pho/ban-nha-duong-hoang-van-thu-phuong-2-tan-binh-4x16m-2-tang-8-ty-id22418268
8000,70,17,4,"mặt tiền, phố", Phường 6, Quận Tân Bình,4,4,Sổ hồng,21/01/2024,22451961,https://mogi.vn/quan-tan-binh/mua-nha-mat-tien-pho/sieu-re-ban-nha-duong-dat-thanh-o-to-dau-trong-nha-4x17m-3-tang-id22451961
8000,90,16,5.5,"mặt tiền, phố", Phường 15, Quận Tân Bình,6,4,Sổ hồng,21/01/2024,22319794,https://mogi.vn/quan-tan-binh/mua-nha-mat-tien-pho/ban-nha-5-tang-hxt-thong-90m2-6pn-chi-8-ty-hoang-bat-dat-p15-tb-id22319794
8000,93,23,4.1,"hẻm, ngõ", Phường Phú Trung, Quận Tân Phú,5,2,Sổ hồng,21/01/2024,22226719,https://mogi.vn/quan-tan-phu/mua-nha-hem-ngo/hem-xe-hoi-thong-trinh-dinh-trong-93m2-4-1x23-2-tang-gia-8-ty-tl-id22226719
8200,44,10.5,4.2,"hẻm, ngõ", Phường 3, Quận Tân Bình,4,4,Sổ hồng,21/01/2024,22375417,https://mogi.vn/quan-tan-binh/mua-nha-hem-ngo/hem-6m-xe-hoi-tranh-gan-cho-pham-van-hai-44m2-5tang-4pn-giap-q-3-id22375417
8200,56,8,6.5,"hẻm, ngõ", Phường 10, Quận 3,3,3,Sổ hồng,21/01/2024,22418485,https://mogi.vn/quan-3/mua-nha-hem-ngo/re-nhat-quan-10-hem-o-to-thoang-5-tang-no-hau-3pn-chi-nhinh-8-ty-id22418485
8250,60,11,5.5,"hẻm, ngõ", Phường 12, Quận Phú Nhuận,5,5,Sổ hồng,21/01/2024,21783104,https://mogi.vn/quan-phu-nhuan/mua-nha-hem-ngo/gap-nha-5-tang-tran-huy-lieu-phu-nhuan-60m2-phong-cach-chau-au-8-25t-id21783104
8250,80,14,6,"mặt tiền, phố", Phường Phú Mỹ, Quận 7,4,5,Sổ hồng,21/01/2024,21816422,https://mogi.vn/quan-7/mua-nha-mat-tien-pho/biet-thu-pho-co-dien-kdc-compoud-huynh-tan-phat-6x14m-id21816422
8250,80,14,6,"mặt tiền, phố", Thị Trấn Nhà Bè, Huyện Nhà Bè,4,5,Sổ hồng,21/01/2024,22078776,https://mogi.vn/huyen-nha-be/mua-nha-mat-tien-pho/biet-thu-pho-co-dien-kdc-compoud-huynh-tan-phat-6x14m-id22078776
8290,102,15,7,"hẻm, ngõ", Phường 3, Quận Bình Thạnh,5,4,Sổ hồng,21/01/2024,21875692,https://mogi.vn/quan-binh-thanh/mua-nha-hem-ngo/sieu-re-biet-thu-mini-102m2-van-kiep-binh-thanh-4-tang-8-29-ty-id21875692
8300,186,12,6.1,"hẻm, ngõ", Phường 6, Quận Tân Bình,8,6,Sổ hồng,21/01/2024,22472743,https://mogi.vn/quan-tan-binh/mua-nha-hem-ngo/hem-5m-ngay-cu-xa-bac-hai-tan-binh-ngang-6m-4-tang-nhinh-8-ty-id22472743
8300,60,13.5,4.5,"hẻm, ngõ", Phường 14, Quận Gò Vấp,4,6,Sổ hồng,21/01/2024,22167995,https://mogi.vn/quan-go-vap/mua-nha-hem-ngo/xe-hoi-do-trong-nha-duong-so-59-60m2-4-5x13-5-5tang-tang-noi-that-id22167995
8350,80,20,4,"hẻm, ngõ", Phường 12, Quận Bình Thạnh,5,5,Sổ hồng,21/01/2024,21784503,https://mogi.vn/quan-binh-thanh/mua-nha-hem-ngo/gap-xe-hoi-vao-nha-bui-dinh-tuy-binh-thanh-80m2-4x20-chi-8-35-ty-id21784503
8400,50,13,3.8,"hẻm, ngõ", Phường 10, Quận Tân Bình,3,4,Sổ hồng,21/01/2024,21586356,https://mogi.vn/quan-tan-binh/mua-nha-hem-ngo/oto-vao-nha-ni-su-huynh-lien-q-tan-binh-50m2-4lau-30m-ra-mat-tien-id21586356
8400,73,10,7.3,"hẻm, ngõ", Phường 7, Quận Phú Nhuận,3,3,Sổ hồng,21/01/2024,22291381,https://mogi.vn/quan-phu-nhuan/mua-nha-hem-ngo/nha-hoa-su-phu-nhuan-73m2-ngang-6m-3pn-san-thuong-chi-nhinh-8-ty-id22291381
8400,80,16,5,"mặt tiền, phố", Phường Phú Mỹ, Quận 7,4,5,Sổ hồng,21/01/2024,22084998,https://mogi.vn/quan-7/mua-nha-mat-tien-pho/nha-kdc-green-riversdie-duong-xe-hoi-8m-huynh-tan-phat-id22084998
8490,80,20,4,"mặt tiền, phố", Phường Bình Hưng Hòa, Quận Bình Tân,5,6,Sổ hồng,21/01/2024,22448201,https://mogi.vn/quan-binh-tan/mua-nha-mat-tien-pho/mat-tien-kd-xam-uat-ngay-aeon-tan-phu-80m2-4-tang-san-thuong-id22448201
8500,100,19,5.3,"hẻm, ngõ", Phường Hiệp Phú, Quận 9 (TP. Thủ Đức),4,4,Sổ hồng,21/01/2024,21427092,https://mogi.vn/quan-9/mua-nha-hem-ngo/ban-nha-108m2-hem-8m-duong-truong-van-thanh-hiep-phu-q9-gia-8-ty-500-id21427092
8500,102,15.9,6.4,"hẻm, ngõ", Phường Bình Thuận, Quận 7,3,4,Sổ hồng,21/01/2024,22419414,https://mogi.vn/quan-7/mua-nha-hem-ngo/ban-nha-gan-mt-ly-phuc-man-quan-7-102m2-n-6-4m-hxh-chi-hon-8-ty-id22419414
8500,136,12.5,6.9,"mặt tiền, phố", Phường 16, Quận 8,4,3,Sổ hồng,21/01/2024,22285850,https://mogi.vn/quan-8/mua-nha-mat-tien-pho/hxh-p16-quan-8-gan-song-135m2-ngang-7m-khu-an-ninh-dan-tri-8-5-ty-tl-id22285850
8500,42,13.5,3.5,"hẻm, ngõ", Phường 13, Quận Phú Nhuận,4,4,Sổ hồng,21/01/2024,22458050,https://mogi.vn/quan-phu-nhuan/mua-nha-hem-ngo/nha-hem-xe-hoi-thang-1-truc-huynh-van-banh-41m2-5-tang-4pn-nhinh8ty-id22458050
8500,42,9.5,4.5,"hẻm, ngõ", Phường 14, Quận 10,3,4,Sổ hồng,21/01/2024,22347608,https://mogi.vn/quan-10/mua-nha-hem-ngo/hem-6m-xe-hoi-tranh-to-hien-thanh-q-10-42m2-4-5x9-5-kinh-doanh-dinh-id22347608
8500,45,11,4,"hẻm, ngõ", Phường 11, Quận Phú Nhuận,3,3,Sổ hồng,21/01/2024,22390284,https://mogi.vn/quan-phu-nhuan/mua-nha-hem-ngo/ban-gap-nha-huynh-van-banh-phu-nhuan-id22390284
8500,50,12.5,5.5,"hẻm, ngõ", Phường 3, Quận Phú Nhuận,5,5,Sổ hồng,21/01/2024,22436019,https://mogi.vn/quan-phu-nhuan/mua-nha-hem-ngo/nha-hem-xe-hoi-7-cho-phan-dang-luu-phu-nhuan-gan-50m2-5-tang-5pn-id22436019
8500,51,17,3,"hẻm, ngõ", Phường 7 (Phường Võ Thị Sáu), Quận 3,4,5,Sổ hồng,21/01/2024,21892893,https://mogi.vn/quan-3/mua-nha-hem-ngo/oto-do-cua-nam-ky-khoi-nghia-q-3-51m2-4-tang-4pn-30m-ra-mat-tien-id21892893
8500,52,13,4,"hẻm, ngõ", Phường 11, Quận Phú Nhuận,5,5,Sổ hồng,21/01/2024,22399360,https://mogi.vn/quan-phu-nhuan/mua-nha-hem-ngo/nha-phu-nhuan-huynh-van-banh-52m2-ngang-4m-4-tang-5pn-chi-nhinh-8-ty-id22399360
8500,55,11,5,"hẻm, ngõ", Phường 15, Quận 10,4,2,Sổ đỏ,21/01/2024,22177180,https://mogi.vn/quan-10/mua-nha-hem-ngo/ban-gap-hxh-cach-mang-thang-tam-quan-10-id22177180
8500,65,12,5,"hẻm, ngõ", Phường 2, Quận 10,5,3,Sổ đỏ,21/01/2024,22161941,https://mogi.vn/quan-10/mua-nha-hem-ngo/ban-nha-hxh-tran-nhan-ton-quan-10-id22161941
8500,70,10,7,"hẻm, ngõ", Phường 14, Quận Phú Nhuận,4,4,Sổ hồng,21/01/2024,22320712,https://mogi.vn/quan-phu-nhuan/mua-nha-hem-ngo/quan-3-nguyen-thien-thuat-ngang-7x10m-sathem-xe-tai-4-tang-chi-hon-8ty-id22320712
8500,80,15,5.5,"mặt tiền, phố", Phường Phú Mỹ, Quận 7,4,5,Sổ hồng,21/01/2024,22083562,https://mogi.vn/quan-7/mua-nha-mat-tien-pho/nha-pho-green-riverside-khu-dan-cu-compoud-huynh-tan-phat-id22083562
8500,80,15,5.5,"mặt tiền, phố", Thị Trấn Nhà Bè, Huyện Nhà Bè,4,5,Sổ hồng,21/01/2024,22083558,https://mogi.vn/huyen-nha-be/mua-nha-mat-tien-pho/biet-thu-green-riverside-khu-dan-cu-dong-bo-huynh-tan-phat-id22083558
8500,85.6,21.4,4,"hẻm, ngõ", Phường Phú Thuận, Quận 7,4,5,Không xác định,21/01/2024,22432857,https://mogi.vn/quan-7/mua-nha-hem-ngo/nha-hoang-quoc-viet-full-noi-that-85-6m2-chi-hon-8-ty-id22432857
8500,98,12,8,"mặt tiền, phố", Thị Trấn Nhà Bè, Huyện Nhà Bè,4,5,Sổ hồng,21/01/2024,22401905,https://mogi.vn/huyen-nha-be/mua-nha-mat-tien-pho/nha-dep-co-dien-full-noi-that-cao-cap-kdc-compoud-8x12m-id22401905
8600,100,16.7,6,"hẻm, ngõ", Phường Bình Thuận, Quận 7,3,4,Sổ hồng,21/01/2024,22422598,https://mogi.vn/quan-7/mua-nha-hem-ngo/ban-nha-gan-nha-thi-dau-quan-7-100m2-hxh-3-tang-chi-hon-8-ty-id22422598
8600,93,19,5,"mặt tiền, phố", Phường Bình Trị Đông, Quận Bình Tân,5,5,Sổ hồng,21/01/2024,22298516,https://mogi.vn/quan-binh-tan/mua-nha-mat-tien-pho/nha-hxh-8m-tan-hoa-dong-gan-4-xa-90m2-5-tang-5x19-shr-chi-8-6-ty-tl-id22298516
8700,50,13,3.9,"hẻm, ngõ", Phường 5, Quận Tân Bình,4,5,Sổ hồng,21/01/2024,22287752,https://mogi.vn/quan-tan-binh/mua-nha-hem-ngo/oto-vao-nha-cmt8-sat-q-3-10-50m2-3-9x13-4tang-gan-nga-4-bay-hien-id22287752
8700,51,14,4,"hẻm, ngõ", Phường 5, Quận Tân Bình,4,5,Sổ hồng,21/01/2024,22360853,https://mogi.vn/quan-tan-binh/mua-nha-hem-ngo/273tb1-chi-8ty7-nha-kd-dinh-cmt8-cv-lethi-rieng-hxh-ngunha-4x14-vuong-id22360853
8700,72,18,4,"hẻm, ngõ", Phường 3, Quận Tân Bình,3,4,Sổ hồng,21/01/2024,21722197,https://mogi.vn/quan-tan-binh/mua-nha-hem-ngo/ban-nha-bui-thi-xuan-gan-cho-pham-van-hai-tan-binh-72m2-4lau-no-hau-id21722197
8700,80,20,4,"hẻm, ngõ", Phường 12, Quận Bình Thạnh,2,3,Sổ hồng,21/01/2024,22311143,https://mogi.vn/quan-binh-thanh/mua-nha-hem-ngo/qua-re-ban-nha-chu-van-an-80m2-4x20m-hem-xe-hoi-chi-8-7-ty-id22311143
8750,80,14,6,"mặt tiền, phố", Phường Phú Mỹ, Quận 7,4,5,Sổ hồng,21/01/2024,21609148,https://mogi.vn/quan-7/mua-nha-mat-tien-pho/biet-thu-tan-co-dien-khu-dan-cu-petechim-day-du-noi-that-id21609148
8750,80,14,6,"mặt tiền, phố", Thị Trấn Nhà Bè, Huyện Nhà Bè,4,5,Sổ hồng,21/01/2024,21611697,https://mogi.vn/huyen-nha-be/mua-nha-mat-tien-pho/biet-thu-tan-co-dien-khu-dan-cu-petechim-day-du-noi-that-id21611697
8750,90,20,4.5,"mặt tiền, phố", Phường Tân Quy, Quận 7,3,2,Sổ hồng,21/01/2024,22436867,https://mogi.vn/quan-7/mua-nha-mat-tien-pho/ban-gap-nha-mt-duong-so-tan-quy-90m2-chi-hon-8-ty-id22436867
