gia,dien tich,kieu nha,tang,phong ngu,wc,phap ly,link,duong,xa phuong thi tran,quan,tp
35000,128,Nhà m?t ph?,7,7,3,S? d?/ S? h?ng,https://batdongsan.com.vn/ban-nha-mat-pho-duong-dong-van-cong-phuong-thanh-my-loi-prj-d2eight-capitaland/chu-can-ban-gap-sd-800m2-gia-thuong-luong-pr38817603,Ðu?ng Ð?ng Van C?ng,Phu?ng  Th?nh M? L?i,Qu?n 2,H? Chí Minh
39000,200,"Nhà bi?t th?, li?n k?",4,5,6,S? d?/ S? h?ng,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-phuong-tan-hung-14-prj-khu-do-thi-him-lam-kenh-te/ban-gia-tot-nhat-kdc-quan-7-pr38579741,D? án Him Lam Kênh T?,Phu?ng Tân Hung,Qu?n 7,H? Chí Minh
39000,190,"Nhà bi?t th?, li?n k?",4,5,5,S? d?/ S? h?ng,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-nguyen-van-troi-phuong-12-9/ban-quan-phu-nhuan-tuyet-dep-vao-o-ngay-pr39021188,Ðu?ng Nguy?n Van Tr?i,Phu?ng 12,Phú Nhu?n,H? Chí Minh
39000,141,Nhà riêng,4,0,0,S? d?/ S? h?ng,https://batdongsan.com.vn/ban-nha-rieng-pho-hai-ba-trung-phuong-vo-thi-sau/n-quan-3-goc-2-mat-tien-duong-dt-7m-x22m-gia-chi-39-ty-pr39021151,Ðu?ng  Hai Bà Trung,Phu?ng Võ Th? Sáu,Qu?n 3,H? Chí Minh
39000,242,Nhà riêng,1,0,0,,https://batdongsan.com.vn/ban-nha-rieng-duong-le-van-sy-phuong-13-1/ban-2-mat-tien-hxh-quan-3-dt-11x22-gia-chi-39-ty-pr39020100,Ðu?ng Lê Van S?,Phu?ng 13,Qu?n 3,H? Chí Minh
39000,200,Nhà m?t ph?,4,0,0,Ðã có s? h?ng - hoàn công,https://batdongsan.com.vn/ban-nha-mat-pho-duong-16-5-phuong-tan-hung-14-prj-khu-do-thi-him-lam-kenh-te/ban-biet-thu-quan-7-10x20-dep-co-thang-may-pr38851685,Ðu?ng 16,Phu?ng Tân Hung,Qu?n 7,H? Chí Minh
43000,98,Nhà m?t ph?,4,0,0,S? d?/ S? h?ng,https://batdongsan.com.vn/ban-nha-mat-pho-duong-de-tham-phuong-co-giang/ban-129a-quan-1-gia-tot-vi-tri-p-ngay-khu-tay-bui-vien-pr39019551,Ðu?ng Ð? Thám,Phu?ng Cô Giang,Qu?n 1,H? Chí Minh
45000,250,"Nhà bi?t th?, li?n k?",4,11,10,S? d?/ S? h?ng,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-pho-24-xa-binh-hung-1-prj-khu-dan-cu-him-lam-6a/-dang-cap-himlam-kdc-trung-son-ham-11pn-250m2-chi-45-ty-pr38619583,Ph? 24,Xã Bình Hung,Bình Chánh,H? Chí Minh
49000,231,Nhà m?t ph?,9,22,23,S? d?/ S? h?ng,https://batdongsan.com.vn/ban-nha-mat-pho-duong-le-duc-tho-phuong-17-2/ban-toa-tien-go-vap-dong-tien-pr38950984,Ðu?ng Lê Ð?c Th?,Phu?ng 17,Gò V?p,H? Chí Minh
54000,554,"Shophouse, nhà ph? thuong m?i",0,0,0,,https://batdongsan.com.vn/ban-shophouse-nha-pho-thuong-mai-duong-n1-phuong-son-ky-prj-celadon-city/sieu-pham-dau-tu-so-luong-co-han-cam-ket-cho-thue-len-den-30-pr39015983,,D? án Celadon City,Qu?n Tân Phú,H? Chí Minh
54000,160,Nhà m?t ph?,3,3,3,S? d?/ S? h?ng,https://batdongsan.com.vn/ban-nha-mat-pho-duong-bui-huu-nghia-phuong-5-9/kinh-doanh-vang-bac-da-quy-kim-cuong-xi-ma-khong-the-bo-lo-can-sieu-pham-nay-tai-cho-hoa-binh-pr38259740,Ðu?ng Bùi H?u Nghia,Phu?ng 5,Qu?n 5,H? Chí Minh
55000,160,Nhà m?t ph?,1,0,0,S? d?/ S? h?ng,https://batdongsan.com.vn/ban-nha-mat-pho-duong-dien-bien-phu-phuong-10-6/ban-hiem-goc-2-tien-quan-10-dt-8x25-gia-chi-55-ty-pr39021048,Ðu?ng Ði?n Biên Ph?,Phu?ng 10,Qu?n 10,H? Chí Minh
55000,160,Nhà m?t ph?,0,0,0,,https://batdongsan.com.vn/ban-nha-mat-pho-duong-tran-hung-dao-phuong-4-13/ban-mt-quan-5-gia-55-ty-pr38791287,Ðu?ng Tr?n Hung Ð?o,Phu?ng 4,Qu?n 5,H? Chí Minh
120000,240,"Nhà bi?t th?, li?n k?",3,0,0,S? h?ng,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-ho-xuan-huong-phuong-vo-thi-sau/cc-ban-mat-tien-rong-240m2-ngay-tt-quan-3-gia-120-ty-con-ong-luong-pr38315539,Ðu?ng H? Xuân Huong,Phu?ng Võ Th? Sáu,Qu?n 3,H? Chí Minh
128000,136,Nhà m?t ph?,0,0,0,S? d?/ S? h?ng,https://batdongsan.com.vn/ban-nha-mat-pho-pho-hai-ba-trung-phuong-6-7/sieu-pham-duy-nhat-goc-2-tien-duong-tran-quoc-toan-q3-10m-x16m-gia-128-ty-5-tang-pr39017886,Ðu?ng  Hai Bà Trung,Phu?ng 6,Qu?n 3,H? Chí Minh
145000,167,Nhà m?t ph?,7,0,0,,https://batdongsan.com.vn/ban-nha-mat-pho-duong-nguyen-trai-phuong-nguyen-cu-trinh/ban-toa-tien-q1-8-3mx20m-ket-cau-ham-7-lau-gia-149-ty-pr38447046,Ðu?ng Nguy?n Trãi,Phu?ng Nguy?n Cu Trinh,Qu?n 1,H? Chí Minh
175000,481,Nhà m?t ph?,0,0,0,,https://batdongsan.com.vn/ban-nha-mat-pho-duong-dien-bien-phu-phuong-6-7/ban-mt-co-gpxd-2260m2-san-tich-17mx30m-dtcn-481m2-dtkv-601-m2-gia-175-ty-pr38992442,Ðu?ng Ði?n Biên Ph?,Phu?ng 6,Qu?n 3,H? Chí Minh
200000,460,"Nhà bi?t th?, li?n k?",3,0,0,S? d?/ S? h?ng,https://batdongsan.com.vn/ban-nha-biet-thu-lien-ke-duong-quoc-lo-13-phuong-hiep-binh-phuoc-prj-khu-do-thi-van-phuc-city/ban-can-goc-mansion-200-ty-view-song-sai-gon-so-hong-so-huu-lau-dai-pr38506260,Ðu?ng Qu?c L? 13,Phu?ng Hi?p Bình Phu?c,Th? Ð?c,H? Chí Minh
270000,600,Nhà m?t ph?,0,0,0,,https://batdongsan.com.vn/ban-nha-mat-pho-duong-cach-mang-thang-tam-phuong-6-7/ban-gap-can-goc-2-tien-8-dt-18m-x-40m-gia-chi-270-ty-pr38989164,Ðu?ng Cách M?ng Tháng Tám,Phu?ng 6,Qu?n 3,H? Chí Minh
270000,680,Nhà m?t ph?,4,0,0,,https://batdongsan.com.vn/ban-nha-mat-pho-duong-cach-mang-thang-tam-phuong-ben-thanh/ban-tien-8-can-goc-dt-17mx40m-gia-chi-270-ty-lh-pr38987274,Ðu?ng Cách M?ng Tháng Tám,Phu?ng B?n Thành,Qu?n 1,H? Chí Minh
